%l%E     Ra  Rac Pr Pm icc lmax nr mc  Re  Rm  Ro  Rol Ekin %po %ta lm mmd  Nu  Emag %ex %po %pa %ta lm mmd B  Bsur  B12  Bdip Bax pow %jou tmag tvis trun tad Tm  T2 R2R1  Filename  
%%%                                            10^-3                                                                              10^7        10^-4           10^-4
 1.e-3 1.50e6 0.0 1 4.0  0   53 37 1 25.5 102  26.  40. 325. 21 12. 4.9 2  1.90   395  6 27 12. 29.  6.1 2 1.78 .422 .416 .273 .73 .0084 23. 214 50.1 78.0 1990 000   0 .122  %e10r4q150a
 1.e-3 8.00e5 0.0 1 12. -1   53 37 1 13.0 156  13.  16. 84.4 26 20. 3.9 2  1.53   974  6 35 15. 31.  6. 1  4.83 1.48 1.43 .908 .71 .0034 51. 609 50.9 26.3 342 0000   0 .080  %e10r12q80b
 1.e-3 2.00e6 0.0 1 12. -1   53 37 1 23.6 283  24.  44. 279. 31 12. 5.9 3  2.12  1205  4 38  9. 15.  9. 3  5.38 1.52 1.36 .698 .55 .0123 40. 256 38.2 39.8 940 0000   0 .142  %e10r12q200a
 1.e-3 4.00e6 0.0 1 12. -1   53 37 1 41.2 495  42.  88. 850. 30 6.2 6.7 3  2.70   595  1 35 2.8 6.8  14 5  3.78 .731 .600 .172 .35 .0296 19. 107 35.7 90.0 3700 000   0 .621  %e10r12q400a
 1.e-3 8.00e5 0.0 1 40. -1   53 37 1 12.2 487  12.  17. 74.2 31 19. 4.3 2  1.52  1242  5 36 11. 23.  8. 2  9.97 3.02 2.73 1.53 .61 .0033 46. 866 41.1 9.84 120 0000   0 .118  %e10r40q80a
 3.e-4 6.00e7 0.0 1 1.5  0   85 41 1 123. 184  37. 117  7550 31 5.5 10 04  4.96  1760 03 40 7.9 7.4  12 05 1.26 .273 .244 .167 .67 .521 18. 19.9 17.6 3.52 433 2816 000 .070  %e3r15q600a    
 3.e-4 3.00e8 0.0 1 1.5  0   85 49 1 279. 418  78. 268 38800 34 8.8 10 04  7.93  1200 01 41 1.7 2.7  22 08 1.04 .146 .101 .019 .27 2.76 6.6  6.7 15.2 1.66 463 2816 000 .966  %e3r15q300a    
 3.e-4 4.50e7 0.0 1 2.0  0   85 41 1 101. 203  30.  96  5140 30 4.8 10 04  4.46  2580 03 39 8.2  10  12 05 1.76 .418 .367 .254 .66 .383 25. 27.5 18.0 3.42 345 2816 000 .111  %e3r2q450a    
 3.e-4 1.10e8 0.0 1 2.0  0   85 41 1 174. 348  66. 212 15100 32 8.2 10 05  6.05   810 01 40 2.1 3.5  20 07 .986 .143 .107 .030 .35 .988 7.6 10.9 16.5 4.58 797 2816 000 .598  %e3r2q1100b    
 3.e-4 2.00e8 0.0 1 2.0  0   85 41 1 224. 449  66. 212 25200 34 7.6 10 04  7.14  2010 01 40 1.7 2.9  21 08 1.55 .219 .148 .029 .28 1.82 12. 9.24 15.8 2.47 553 2816 000 1.15  %e3r2q2000a    
 3.e-4 1.00e7 0.0 1 3.0  0   51 33 1 41.4 124  12.  32   855 24 8.3 08 04  2.36  2090 06 37  15  17  08 03 1.94 .442 .415 .338 .80 .060 40. 90.4 23.8 3.05 125 2816 000 .020  %e3r3q100a
 3.e-4 1.50e7 0.0 1 3.0  0   85 41 1 49.8 149  15.  44  1240 27 7.9 09 04  2.80  2880 06 40  15  13  09 04 2.28 .573 .524 .412 .76 .104 42. 69.0 20.7 4.58 228 2816 000 .025  %e3r3q150c
 3.e-4 2.00e7 0.0 1 3.0  0   51 33 1 61.3 184  15.  54  1880 27 6.7 09 05  3.17  2800 06 39  12  13  10 04 2.24 .548 .489 .357 .70 .150 35. 55.3 19.6 321 19680  01 000 .049  %e3r3q200e
 3.e-4 7.00e7 0.0 1 3.0  0   64 41 1 125  376  38. 119  7840 31 5.6 10 07  5.24  3470 02 38 3.9 6.4  16 06 2.50 .504 .409 .194 .47 .618 25. 23.7 17.0 302 33700  01 000 .246  %e3r3q700f7
 3.e-4 8.00e7 0.0 1 3.0  0   64 41 1 136  409  41. 138  9300 31 6.5 11 07  5.48  3110 01 39 3.0 5.4  17 06 2.37 .433 .341 .137 .42 .712 22. 19.9 16.8 159 21700  01 000 .278  %e3r3q800e
 1.e-4 5.00e7 0.0 1 2.0  0   85 41 1 64.7 129  6.5  23  2090 23  9. 12 06  2.68  6510 06 42  19  13  10 05 1.61 .354 .336 .307 .88 .313 48. 46.3 12.9 1.45  94 2816 000 .011  %e1r2q50aa    
