%l%E     Ra  Rac Pr Pm icc  qs  lmax nr mc  Re  Rm  Ro  Rol Ekin %po %ta lm mmd  Nu  Emag %ex %po %pa %ta lm mmd B  Bsur B12  Bdip Bax pow %jou tmag tvis trun tad Tm  T2 vrat  Filename  
 3.e-4 1.25e6 6.17 1 1.5 -2 .763 53 33 1   45  68 14.  39. 1024 23 12. 09  5 2.21   1970  6 41  21 22  5.8 3 1.33 .339 .329 .281 .86 .072 35. 84.1 22.0 23.9 1075 001 001 .01 %e3r15tq12q
 3.e-4 1.0e7 49.4 1 1.5  -2 2.50 85 41 1  277 416 83. 290 38400 35 10. 11  5 7.34   1955  1 43 1.8 2.6 22  8 1.33 .294 .167 .035 .23 3.09 10. 6.72 13.8 1.50 415 0001  01 .01 %e3r15tq1000a
 3.e-4 2.1e6 10.4 1 3.0  -2 1.09 64 41 1   67 201 20.  70. 2250 31 7.9 11  5 3.20   4980  5 43  11 12. 10  4 2.99 .960 .792 .474 .57 .225 40. 57.5 17.0 4.45 298 0001 001 .01 %e3r3tq63a
 3.e-4 2.7e6 13.3 1 5.0  -2 1.275 64 41 1  81 405 24.  85. 3280 34 6.7 11  6 3.75   6400  3 44 6.7 6.9 15  6 4.38 1.45 1.03 .512 .44 .365 38. 48.0 15.0 3.00 243 0001 001 .01 %e3r5tq81a 
 3.e-4 2.5e6 10.5 3 10. -2  1.215 64 41 1  25 251 7.6  25   316 32 10. 10  5 3.59   2570  5 45 10. 11. 11  4 3.93 1.37 1.09 .588 .52 .035 45. 171. 16.5 10.3 259 0001 001 .01 %e3r10p3tq25a
 1.e-4 1.5e7 21.5 1 10. -2 1.90 133 65 1 144 1435 14.  86 10300  36 7.3 16  6 5.57  50100  2 46 4.3 4.2 24  8 10.0 3.45 1.95 .947 .35 3.32 47. 32.6 5.92 .396  57 0001  01 .01 %e1r10tq150b
 1.e-4 1.8e7 25.8 1 16  -2 2.05 134 65 1 167 2668 17.  90 13900  36 6.7 17 6.7 6.09 50400  2 45 2.8 3.5 31 10 13.3 4.07 1.94 .854 .27 4.42 37. 31.3 5.04 .339  57 0001   0 .01 %e1r16tq180a
 1.e-4 1.5e7 21.5 1 33.3 -2 1.85 168 97 1 133 4447 13. 68  8900  38 8.5 16 5.9 5.51 65300  1 44 2.7 4.5 30  9 20.9 6.10 2.92 1.20 .25 3.23 37. 56.8 4.61 .386  51 1757   0 .01 %e1r33tq150b 
 3.e-5 1.2e8 42.4 1 .50  -2 3.95 134 72 1  574 287 17. 127 165000 33 7.7 23 10 11.4  36900  1 44 2.9 2.8 22  9 1.05 .248 .180 .035 .35 60.3 24. 2.55 3.63 .268 154 0001  01 .00 %e03r05tq1200b
 3.e-5 2.5e7 8.82 1 1.0  -2 .9625 85 41 1   92  92 2.8  11   4270 22 17. 13  6 2.87  56300  7 41  22 26. 6.5 3 1.84 .478 .459 .408 .89 2.00 71. 42.6 7.33 1.56 144 0001  01 .01 %e03r1tq250a
 3.e-5 3.0e7 10.6 1 1.0  -2 1.10  85 41 1  104 104 3.1  15   5400 25 16. 15  6 3.30  74000  8 45  23 22. 7.0 3 2.11 .605 .565 .492 .84 3.00 72. 36.6 6.55 1.06 108 0001  01 .01 %e03r1tq300a
 3.e-5 3.0e7 10.6 1 2.5  -2 1.275 85 41 1  102 254 3.0  14   5160 30 12. 14  6 3.72 128000  6 45  14 17  10  3 4.38 1.56 1.28 .830 .60 3.79 76. 47.0 5.75 .944  96 0001  01 .01 %e03r25tq300a
 3.e-5 8.0e7 28.2 1 1.0  -2 2.5375 106 73 1 265 265 7.9 56. 35000 32 6.3 22 10 7.39 154000  6 47  14 11. 14  6 3.04 .979 .758 .615 .65 24.5 64. 10.4 4.05 .414 110 0001  01 .01 %e03r1tq800b
 3.e-5 8.0e7 28.2 1 2.5  -2 2.5375 106 73 1 252 630 7.6 53. 31800 34 6.6 22  9 7.48 195000  4 47 8.3 6.9 20  7 5.40 1.91 1.19 .810 .46 24.6 63. 13.0 3.56 .501 126 0001  01 .01 %e03r25tq800b
